SOC difficulty,title
5,Footwear and leather working trades
5,Tailors and dressmakers
5,"Textiles, garments and related trades n.e.c."
5,Pre-press technicians
5,Printers
5,Print finishing and binding workers
5,Butchers
5,Bakers and flour confectioners
5,Fishmongers and poultry dressers
5,Chefs
5,Cooks
5,Catering and bar managers
5,"Glass and ceramics makers, decorators and finishers"
5,Furniture makers and other craft woodworkers
5,Florists
5,Other skilled trades n.e.c.
6,Nursery nurses and assistants
6,Childminders and related occupations
6,Playworkers
6,Teaching assistants
6,Educational support assistants
6,Veterinary nurses
6,Pest control officers
6,Animal care services occupations n.e.c.
6,Nursing auxiliaries and assistants
6,Ambulance staff (excluding paramedics)
6,Dental nurses
6,Houseparents and residential wardens
6,Care workers and home carers
6,Senior care workers
6,Care escorts
6,"Undertakers, mortuary and crematorium assistants"
6,Sports and leisure assistants
6,Travel agents
6,Air travel assistants
6,Rail travel assistants
6,Leisure and travel service occupations n.e.c.
6,Hairdressers and barbers
6,Beauticians and related occupations
6,Housekeepers and related occupations
6,Caretakers
6,Cleaning and housekeeping managers and supervisors
7,Sales and retail assistants
7,Retail cashiers and check-out operators
7,Telephone salespersons
7,Pharmacy and other dispensing assistants
7,Vehicle and parts salespersons and advisers
7,Collector salespersons and credit agents
7,"Debt, rent and other cash collectors"
7,Roundspersons and van salespersons
7,Market and street traders and assistants
7,Merchandisers and window dressers
7,Sales related occupations n.e.c.
7,Sales supervisors
7,Call and contact centre occupations
7,Telephonists
7,Communication operators
7,Market research interviewers
7,Customer service occupations n.e.c.
7,Customer service managers and supervisors
8,"Food, drink and tobacco process operatives"
8,Glass and ceramics process operatives
8,Textile process operatives
8,Chemical and related process operatives
8,Rubber process operatives
8,Plastics process operatives
8,Metal making and treating process operatives
8,Electroplaters
8,Process operatives n.e.c.
8,Paper and wood machine operatives
8,Coal mine operatives
8,Quarry workers and related operatives
8,Energy plant operatives
8,Metal working machine operatives
8,Water and sewerage plant operatives
8,Printing machine assistants
8,Plant and machine operatives n.e.c.
8,Assemblers (electrical and electronic products)
8,Assemblers (vehicles and metal goods)
8,Routine inspectors and testers
8,"Weighers, graders and sorters"
8,"Tyre, exhaust and windscreen fitters"
8,Sewing machinists
8,Assemblers and routine operatives n.e.c.
8,"Scaffolders, stagers and riggers"
8,Road construction operatives
8,Rail construction and maintenance operatives
8,Construction operatives n.e.c.
8,Large goods vehicle drivers
8,Van drivers
8,Bus and coach drivers
8,Taxi and cab drivers and chauffeurs
8,Driving instructors
8,Crane drivers
8,Fork-lift truck drivers
8,Agricultural machinery drivers
8,Mobile machine drivers and operatives n.e.c.
8,Train and tram drivers
8,Marine and waterways transport operatives
8,Air transport operatives
8,Rail transport operatives
8,Other drivers and transport operatives n.e.c.
9,Farm workers
9,Forestry workers
9,Fishing and other elementary agriculture occupations n.e.c.
9,Elementary construction occupations
9,Industrial cleaning process occupations
9,"Packers, bottlers, canners and fillers"
9,Elementary process plant occupations n.e.c.
9,"Postal workers, mail sorters, messengers and couriers"
9,Elementary administration occupations n.e.c.
9,Window cleaners
9,Street cleaners
9,Cleaners and domestics
9,"Launderers, dry cleaners and pressers"
9,Refuse and salvage occupations
9,Vehicle valeters and cleaners
9,Elementary cleaning occupations n.e.c.
9,Security guards and related occupations
9,Parking and civil enforcement occupations
9,School midday and crossing patrol occupations
9,Elementary security occupations n.e.c.
9,Shelf fillers
9,Elementary sales occupations n.e.c.
9,Elementary storage occupations
9,Hospital porters
9,Kitchen and catering assistants
9,Waiters and waitresses
9,Bar staff
9,Leisure and theme park attendants
9,Other elementary services occupations n.e.c.
